eventid,date,year,state,city,attack_type,weapon,target,group,fatalities,injuries,summary,latitude,longitude
197001010002,1-Jan-70,1970,Illinois,Cairo,Armed Assault,Firearms,"Police | Police Building (headquarters, station, school) | Cairo Police Headquarters",Black Nationalists,0,0,"1/1/1970: Unknown African American assailants fired several bullets at police headquarters in Cairo, Illinois, United States.  There were no casualties, however, one bullet narrowly missed several police officers.  This attack took place during heightened racial tensions, including a Black boycott of White-owned businesses, in Cairo Illinois.",37.005105,-89.176269
197001020002,2-Jan-70,1970,California,Oakland,Bombing/Explosion,Explosives/Bombs/Dynamite,Utilities | Electricity | Edes Substation,Unknown,0,0,"1/2/1970: Unknown perpetrators detonated explosives at the Pacific Gas & Electric Company Edes substation in Oakland, California, United States.  Three transformers were damaged costing an estimated $20,000 to $25,000.  There were no casualties.",37.805065,-122.273024
197001020003,2-Jan-70,1970,Wisconsin,Madison,Facility/Infrastructure Attack,Incendiary,"Military | Military Recruiting Station/Academy | R.O.T.C. offices at University of Wisconsin, Madison",New Year's Gang,0,0,"1/2/1970: Karl Armstrong, a member of the New Years Gang, threw a firebomb at R.O.T.C. offices located within the Old Red Gym at the University of Wisconsin in Madison, Wisconsin, United States.  There were no casualties but the fire caused around $60,000 in damages to the building.",43.076592,-89.412488
197001030001,3-Jan-70,1970,Wisconsin,Madison,Facility/Infrastructure Attack,Incendiary,Government (General) | Government Building/Facility/Office | Selective Service Headquarters in Madison Wisconsin,New Year's Gang,0,0,"1/3/1970: Karl Armstrong, a member of the New Years Gang, broke into the University of Wisconsin's Primate Lab and set a fire on the first floor of the building.  Armstrong intended to set fire to the Madison, Wisconsin, United States, Selective Service Headquarters across the street but mistakenly confused the building with the Primate Lab.  The fire caused slight damages and was extinguished almost immediately.",43.07295,-89.386694
197001050001,1-Jan-70,1970,Wisconsin,Baraboo,Bombing/Explosion,Explosives/Bombs/Dynamite,Military | Military Barracks/Base/Headquarters/Checkpost | Badger Army ammo depot.,"Weather Underground, Weathermen",0,0,,43.4685,-89.744299
197001060001,6-Jan-70,1970,Colorado,Denver,Facility/Infrastructure Attack,Incendiary,"Military | Military Recruiting Station/Academy | Army Recruiting Station, Denver Colorado",Left-Wing Militants,0,0,"1/6/1970: Unknown perpetrators threw a Molotov cocktail into an Army Recruiting Station in Denver, Colorado, United States.  There were no casualties but damages to the station were estimated at $305.",39.74001,-104.992259
197001090001,9-Jan-70,1970,Michigan,Detroit,Facility/Infrastructure Attack,Incendiary,Government (General) | Government Building/Facility/Office | Packard Properties building of Detroit Michigan,Left-Wing Militants,0,0,"1/9/1970: Unknown perpetrators set off a firebomb at the Packard Properties building in Detroit, Michigan, United States.  The facility housed federal employees.  The building was damaged but there were no casualties.",42.331685,-83.047924
197001120001,12-Jan-70,1970,New York,New York City,Bombing/Explosion,Explosives/Bombs/Dynamite,Educational Institution | School/University/Educational Building | James Madison High School,Black Nationalists,0,0,"1/12/1970: Unknown perpetrators threw a pipe bomb into the vacant dean's office of James Madison High School in Brooklyn, New York, United States.  There were no casualties but the explosion caused minor damages.  Earlier in the day anti-war and pro-Black Panther statements were discovered painted outside the walls of the school.",40.610069,-73.947971
197001130001,13-Jan-70,1970,Washington,Seattle,Facility/Infrastructure Attack,Incendiary,"Business | Retail/Grocery/Bakery | Fuson's Department Store, Seattle Washington",Black Nationalists,0,0,"1/13/1970: Unknown perpetrators firebombed Fuson's Department Store in Seattle, Washington, United States.  There were no casualties but the store sustained an estimated $17,000 in damages.  Less than a week earlier, the store owner shot and killed an African American male attempting to rob the store.",47.60356,-122.329439
197001140001,14-Jan-70,1970,Illinois,Champaign,Facility/Infrastructure Attack,Incendiary,"Police | Police Building (headquarters, station, school) | Champaign Police Department",Black Nationalists,0,1,"1/14/1970: Suspected Black militants threw two firebombs into the Champaign Police Department in Champaign, Illinois, United States.  The building was damaged and one police officer was severely burned.",40.116748,-88.23927
197001190002,19-Jan-70,1970,Washington,Seattle,Bombing/Explosion,Explosives/Bombs/Dynamite,"Educational Institution | School/University/Educational Building | Liberal Arts and Garrand buildings, Seattle University",Black Nationalists,0,0,"1/17/1970: Three African Americans were suspected of detonating a bomb on the Seattle University campus in Seattle, Washington, United States.  There were no casualties but the Liberal Arts and Garrand buildings sustained $2,200 in damages.",47.610594,-122.317228
197001190003,19-Jan-70,1970,Washington,Seattle,Bombing/Explosion,Explosives/Bombs/Dynamite,Military | Military Recruiting Station/Academy | Air Force R.O.T.C. at the University of Washington,Student Radicals,0,0,"1/17/1970: Silas and Judith Bissell placed an explosive device in the vicinity of the Air Force R.O.T.C. at the University of Washington campus in Seattle, Washington, United States.  The device was discovered and subsequently disarmed.",47.655335,-122.30352
197001190004,19-Jan-70,1970,New Jersey,Jersey City,Facility/Infrastructure Attack,Incendiary,Violent Political Party | Party Office/Facility | Headquarters,White Extremists,0,0,"1/19/1970: Unknown perpetrators ignited a fire at the Black Panther Party headquarters in Jersey City, New Jersey, United States.  Two hours later shots were fired at the building.  There were no casualties but the building sustained minor damages.",40.728075,-74.077825
197001220002,22-Jan-70,1970,Nebraska,South Sioux City,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property | House/Apartment/Residence | ,Strikers,0,0,"1/22/1970: Unknown perpetrators detonated an explosive device near a private home in South Sioux City, Nebraska, United States.  There were no casualties, however, a sizable hole was left in the house and windows were broken.  This attack was one of many instances of violence in South Sioux City during the Iowa Beef Packers strike.",42.47031,-96.413949
197001250001,25-Jan-70,1970,Mississippi,West Point,Facility/Infrastructure Attack,Incendiary,Private Citizens & Property | Race/Ethnicity Identified | Building used as a meeting place for African Americans.,White Extremists,0,0,"1/25/1970: Unknown perpetrators burnt down a building that was a meeting spot for African Americans in West Point, Mississippi, United States.  There were no injuries or fatalities.  The attack occurred amidst widespread disapproval of school desegregation by the White population of West Point.",33.60651,-88.650419
197001250002,25-Jan-70,1970,New York,New York City,Armed Assault,Firearms,Police | Police Security Forces/Officers | New York Police Officers responding to a call in Harlem,Black Nationalists,0,2,"1/25/1970: Responding to what authorities believe was a fake report to lure police to Manhattan, New York, United States, Patrolmen William Kivlehan and Ralph Bax were shot at from a rooftop by unknown perpetrators after they got out of their car.  Officer Kivlehan was hit five times and officer Bax was hit three times.  Both policemen survived.",40.78306,-73.971249
197001260001,26-Jan-70,1970,Mississippi,West Point,Bombing/Explosion,Explosives/Bombs/Dynamite,Government (General) | Judge/Attorney/Court | Clay County Courthouse,Black Nationalists,0,0,"1/26/1970: Unknown African American assailants, unsatisfied with the courts decision on desegregation, threw a stick of dynamite at the Clay County Courthouse in West Point, Mississippi, United States.  There were no injuries or fatalities but the windows of the building were shattered.",33.60651,-88.650419
197001260003,26-Jan-70,1970,New York,New York City,Armed Assault,Firearms,Police | Police Patrol (including vehicles and convoys) | New York Police Officer on patrol in Forest Hills,Black Nationalists,0,0,"1/26/1970: Police officer Joseph Blik was on foot patrol in Queens, New York, United States when two people in a car stopped to ask him for directions.  The perpetrators in the car immediately fired two shots at Officer Blik and then drove away.  Officer Blik was not hit.",40.728224,-73.794852
197001270002,27-Jan-70,1970,Ohio,Norwalk,Facility/Infrastructure Attack,Incendiary,Government (General) | Government Building/Facility/Office | Selective Service office in Norwalk Ohio,Left-Wing Militants,0,0,"1/27/1970: Unknown perpetrators broke into the Selective Service Offices located at the Citizens Bank Building in Norwalk, Ohio, United States.  The perpetrators took out the draft records and set them on fire.  The attack caused an estimated $8,800 in damages.",41.241996,-82.615241
197001280002,28-Jan-70,1970,Washington,Seattle,Bombing/Explosion,Explosives/Bombs/Dynamite,Religious Figures/Institutions | Place of Worship | Temple De Hirsch,White Extremists,0,0,"1/28/1970: Unknown perpetrators detonated an explosive device at Temple De Hirsch in Seattle, Washington, United States.  There were no casualties but the building sustained $1,000 in damages.  During this time period, there were numerous bombings in the Seattle area.",47.60356,-122.329439
